"","year","price","mileage","location","age"
"1",2020,19.89,35.643,"NEW_YORK",2
"2",2019,25.2,34.945,"NEW_YORK",3
"3",2017,16.99,62.886,"NEW_YORK",5
"4",2022,23.775,0.357,"NEW_YORK",0
"5",2016,13.5,110.667,"NEW_YORK",6
"6",2020,25.499,15.342,"NEW_YORK",2
"7",2020,20.296,31.981,"NEW_YORK",2
"8",2022,23.998,9.146,"NEW_YORK",0
"9",2019,20.496,19.419,"NEW_YORK",3
"10",2020,24.997,23.906,"NEW_YORK",2
"11",2020,20.795,14.633,"NEW_YORK",2
"12",2015,10.995,94.216,"NEW_YORK",7
"13",2020,22.587,34.822,"NEW_YORK",2
"14",2020,23.997,17.714,"NEW_YORK",2
"15",2019,22.455,55.005,"NEW_YORK",3
"16",2022,30.982,6.315,"NEW_YORK",0
"17",2021,26.932,13.538,"NEW_YORK",1
"18",2020,26.995,14.73,"NEW_YORK",2
"19",2014,13.88,89.35,"NEW_YORK",8
"20",2018,20.077,31.75,"NEW_YORK",4
"21",2019,20.995,38.271,"NEW_YORK",3
"22",2019,20.595,29.744,"NEW_YORK",3
"23",2019,22.998,25.429,"NEW_YORK",3
"24",2022,24.998,8.343,"NEW_YORK",0
"25",2020,16,63.498,"NEW_YORK",2
"26",2017,14.456,79.959,"NEW_YORK",5
"27",2020,19.661,60.945,"NEW_YORK",2
"28",2019,23.744,35.673,"NEW_YORK",3
"29",2019,22.523,27.238,"NEW_YORK",3
"30",2020,21.488,23.777,"NEW_YORK",2
"31",2021,18.789,58.386,"NEW_YORK",1
"32",2020,19.998,36.028,"NEW_YORK",2
"33",2021,22.993,12.04,"NEW_YORK",1
"34",2019,20.894,54.676,"NEW_YORK",3
"35",2019,16.999,59.524,"NEW_YORK",3
"36",2015,12.8,100.856,"NEW_YORK",7
"37",2016,14.991,70.145,"NEW_YORK",6
"38",2020,22.995,26.554,"NEW_YORK",2
"39",2019,24.958,32.293,"NEW_YORK",3
"40",2022,25.782,0.24,"NEW_YORK",0
"41",2022,23.527,4.082,"NEW_YORK",0
"42",2015,16.69,18.772,"NEW_YORK",7
"43",2015,13.997,44.986,"NEW_YORK",7
"44",2020,19.899,61.882,"NEW_YORK",2
"45",2020,25.995,17.199,"NEW_YORK",2
"46",2017,14.771,70.7,"NEW_YORK",5
"47",2020,24.598,28.944,"NEW_YORK",2
"48",2019,27.388,28.235,"NEW_YORK",3
"49",2020,19.999,41.159,"NEW_YORK",2
"50",2018,21.958,30.555,"NEW_YORK",4
"51",2020,24.995,33.242,"NEW_YORK",2
"52",2019,26.991,27.368,"NEW_YORK",3
"53",2010,8.995,115.097,"NEW_YORK",12
"54",2020,23.996,16.437,"NEW_YORK",2
"55",2019,24.99,23.247,"NEW_YORK",3
"56",2018,16.999,59.638,"NEW_YORK",4
"57",2019,21.5,23.93,"NEW_YORK",3
"58",2016,18.931,29.715,"NEW_YORK",6
"59",2021,31.3,1.451,"NEW_YORK",1
"60",2020,19.699,31.981,"NEW_YORK",2
"61",2021,21.375,21.36,"NEW_YORK",1
"62",2020,25.9,45.452,"NEW_YORK",2
"63",2019,21.288,32.802,"NEW_YORK",3
"64",2019,25.395,25.125,"NEW_YORK",3
"65",2021,25.991,16.73,"NEW_YORK",1
"66",2018,19.888,17.097,"NEW_YORK",4
"67",2020,18.598,61.929,"NEW_YORK",2
"68",2020,20.289,29.19,"NEW_YORK",2
"69",2021,26.773,2.414,"NEW_YORK",1
"70",2020,19,45.052,"NEW_YORK",2
"71",2020,20.998,42.402,"NEW_YORK",2
"72",2017,12.981,91.773,"NEW_YORK",5
"73",2019,19.888,8.579,"NEW_YORK",3
"74",2020,23.588,23.837,"NEW_YORK",2
"75",2020,16.99,57.932,"NEW_YORK",2
"76",2022,31.991,7.267,"NEW_YORK",0
"77",2020,18.935,53.675,"NEW_YORK",2
"78",2020,17.995,67.384,"NEW_YORK",2
"79",2020,22.998,26.503,"NEW_YORK",2
"80",2019,22.995,47.748,"NEW_YORK",3
"81",2019,17.428,51.935,"NEW_YORK",3
"82",2019,23.996,22.474,"NEW_YORK",3
"83",2019,24.7,23.849,"NEW_YORK",3
"84",2017,15.995,45.7,"NEW_YORK",5
"85",2016,12.76,88.968,"NEW_YORK",6
"86",2020,23.613,24.281,"NEW_YORK",2
"87",2019,20.995,34.075,"NEW_YORK",3
"88",2020,22.59,12.194,"NEW_YORK",2
"89",2021,27.996,3.642,"NEW_YORK",1
"90",2020,20.495,16.486,"NEW_YORK",2
"91",2020,22.662,10.522,"NEW_YORK",2
"92",2016,14.722,81.786,"NEW_YORK",6
"93",2020,25.777,38.215,"NEW_YORK",2
"94",2017,10.991,105.736,"NEW_YORK",5
"95",2021,23.998,7.984,"NEW_YORK",1
"96",2020,14.99,66.766,"NEW_YORK",2
"97",2019,25.522,25.611,"NEW_YORK",3
"98",2022,28.996,1.644,"NEW_YORK",0
"99",2019,19.795,43.51,"NEW_YORK",3
"100",2020,19.565,53.747,"NEW_YORK",2
"101",2020,21.999,36.984,"NEW_YORK",2
"102",2020,21.9,58.706,"NEW_YORK",2
"103",2019,23.97,30.615,"NEW_YORK",3
"104",2020,22.86,9.345,"NEW_YORK",2
"105",2019,25.779,23.602,"NEW_YORK",3
"106",2016,12.5,80.925,"NEW_YORK",6
"107",2020,23.495,16.431,"NEW_YORK",2
"108",2019,22.597,44.695,"NEW_YORK",3
"109",2020,19.995,20.807,"NEW_YORK",2
"110",2020,26.99,1.601,"NEW_YORK",2
"111",2019,21.994,23.191,"NEW_YORK",3
"112",2021,23.2,47.92,"NEW_YORK",1
"113",2019,22.996,31.839,"NEW_YORK",3
"114",2020,21.5,16.616,"NEW_YORK",2
"115",2019,22.455,34.35,"NEW_YORK",3
"116",2020,18.495,61.709,"NEW_YORK",2
"117",2020,17.998,60.83,"NEW_YORK",2
"118",2020,19.895,30.65,"NEW_YORK",2
"119",2022,24.516,4.47,"NEW_YORK",0
"120",2019,18.3,77.406,"NEW_YORK",3
"121",2022,28.4,4.473,"NEW_YORK",0
"122",2020,18.9,55.775,"NEW_YORK",2
"123",2019,23,19.474,"NEW_YORK",3
"124",2019,21.99,15.177,"NEW_YORK",3
"125",2020,23.695,24,"NEW_YORK",2
"126",2016,12.778,79.927,"NEW_YORK",6
"127",2020,20.99,31.854,"NEW_YORK",2
"128",2020,16.777,65.229,"NEW_YORK",2
"129",2019,24.59,16.789,"NEW_YORK",3
"130",2020,21.498,31.251,"NEW_YORK",2
"131",2020,19.998,19.948,"NEW_YORK",2
"132",2015,15.753,50.764,"NEW_YORK",7
"133",2021,27.998,13.63,"NEW_YORK",1
"134",2018,17.995,44.897,"NEW_YORK",4
"135",2019,20.795,30.113,"NEW_YORK",3
"136",2020,19.9,58.081,"NEW_YORK",2
"137",2020,19.96,61.338,"NEW_YORK",2
"138",2020,22.998,20.027,"NEW_YORK",2
"139",2019,25.995,22.161,"NEW_YORK",3
"140",2013,9.559,97.448,"NEW_YORK",9
"141",2020,23.995,15.084,"NEW_YORK",2
"142",2019,18.495,47,"NEW_YORK",3
"143",2020,26.995,4.353,"NEW_YORK",2
"144",2020,24.175,20.277,"NEW_YORK",2
"145",2020,24.719,38.083,"NEW_YORK",2
"146",2020,17.995,62.137,"NEW_YORK",2
"147",2020,23.995,39.864,"NEW_YORK",2
"148",2019,26.69,11.222,"NEW_YORK",3
"149",2015,8.775,123.748,"NEW_YORK",7
"150",2021,21.266,27.841,"NEW_YORK",1
"151",2016,17.141,54.538,"NEW_YORK",6
"152",2021,23.855,12.854,"NEW_YORK",1
"153",2020,27.988,12.429,"NEW_YORK",2
"154",2014,13.995,60.027,"NEW_YORK",8
"155",2020,24.798,15.023,"NEW_YORK",2
"156",2020,16.9,60.554,"NEW_YORK",2
"157",2009,7.998,93.79,"NEW_YORK",13
