year,price,mileage
2020,38.795,25.702
2018,32.569,60.667
2020,0,13.666
2017,26.954,36.464
2016,24.999,59.43
2020,35.686,16.743
2014,27.99,11.134
2019,38.998,17.747
2019,33.995,28.757
2019,35.999,34.55
2015,18.995,85.5
2019,35.713,16.018
2011,12.995,104.66
2019,31.788,46.782
2019,35.998,26.325
2019,36.85,29.468
2009,15.99,77.88
2015,25.995,17.457
2013,13.633,146.117
2018,29.999,36.76
2017,26.159,31.525
2019,28.995,48.661
2016,27,47.41
2019,33.296,27.652
2007,10.999,73.605
2019,34.999,32.483
2020,38.312,15.687
2016,25.53,55.935
2015,26.985,29.16
2019,34.991,43.595
2014,22.3,81.947
2019,0,30.037
2022,40.599,3.193
2020,37.495,35.633
2020,36.85,26.054
2010,16.99,67.48
2021,37.942,8.12
2018,27.988,76.853
2019,32.29,41.094
2019,34.995,45.747
2020,36.595,29.905
2021,38.99,16.181
2020,36.778,29.475
2021,48.59,5.327
2018,27.777,57.71
2019,32.99,37.56
2020,36.695,13.525
2020,34.995,21.097
2012,18.5,57.931
2018,0,40.336
2020,0,29.727
2019,36.58,24.534
2018,27.988,31.037
2019,35,38.846
2019,33.991,29.884
2013,15.895,58.335
2009,7.555,176.084
2019,35.995,18.375
2021,40.994,10.216
2020,40.069,14.926
2020,35.647,12.995
2014,11.49,207.289
2009,8.995,129.534
2017,23.995,82.462
2019,37.598,36.912
2020,33.619,31.412
2018,32.152,10.827
2018,29.495,52.635
2014,15.9,104.481
2013,17.995,82.159
2010,13.5,96.578
2015,25.995,52.336
2019,31.995,35.565
2020,35.493,28.264
2019,38.85,20.902
2020,40.998,17.435
2015,18.362,86.754
2015,31.895,22.633
2019,34.995,25.25
2019,27.999,39.353
2016,25.49,41.888
2020,0,33.774
2020,35.995,19.012
2019,0,20.42
2019,31.999,32.737
2019,37.993,10.835
2012,16.299,93.217
2013,17.848,112.131
2007,7.95,136.187
2020,23.9,33.17
2020,35.489,32.624
2015,27.59,22.086
2019,31.069,45.165
2018,29.9,39.14
2020,38.5,8.07
2020,37.995,44.935
2014,10.995,144.443
2020,38.098,5.423
2019,32.919,40.82
2014,25,30.912
2014,16.303,138.995
2009,16.99,63.852
2012,16.99,93.231
2019,36.829,36.258
2012,19.59,47.084
2016,28.901,35.406
2016,26.767,47.746
2020,35.5,34
2019,33,43.436
2013,20.949,71.354
2018,30.797,27.885
2019,37.995,34.656
2019,37.299,14.701
2019,38.348,23.083
2008,8.995,145.9
2021,38.992,5.749
2018,29.85,37.812
2019,36.995,20.451
2020,39.998,20.641
2020,38.509,2.187
2016,29.59,24.961
2018,31.9,41.44
2019,32.799,36.941
2019,35.998,27.989
2019,35.387,30.308
2016,25,16.155
2019,37.588,22.002
2015,19.995,56.692
2019,31.995,31.219
2016,28.99,37.089
2010,11.999,134.27
2011,15.99,81.768
2014,21.495,95.568
2014,0,105.306
2016,30.493,24.589
2020,35.988,22.782
2017,29.99,26.089
2016,26.433,22.325
2017,28.995,57.601
2019,34,37.612
2020,39.998,5.58
2019,34.995,53.783
2016,25.523,59.043
2019,32.194,32.775
2010,12.49,112.127
2015,15.643,145.339
2013,17.998,72.461
2014,19.5,69.959
2020,36.85,34.439
2020,37.495,23.002
2019,33.588,34.36
2014,25,50.557
2019,36.5,26.516
2018,31.995,36.804
2021,45.99,9.176
2020,37.99,29.91
2013,20,96.033
2020,38.999,18.818
2019,32.688,43.647
2019,37.888,38.499
2012,15.549,114.157
2015,28.99,8.209
2009,12.49,80.058
2019,35,32.555
2019,33.888,23.738
2019,36.595,8.645
2016,28.918,35.976
2009,16.59,72.133
2019,36.495,19.497
2019,37.888,41.605
2019,37.598,27.507
2017,27.995,33.552
2019,33,45
2019,34.995,12.41
2019,31.995,40.345
2021,38.8,7.241
2013,20.727,69.447
2019,34.73,23.346
2015,21.95,93.978
2019,35.795,30.408
2020,36.995,15.785
2021,39.5,28.492
2019,35.988,50.471
2016,30.986,41.495
2016,21.999,87.603
2018,30.75,57.909
2020,36.995,39.716
2018,30.297,34.811
2019,34.461,24.84
2019,35.795,57.35
2020,35.469,19.675
2007,9.996,123.719
2021,44.99,18.208
2018,33.995,27.769
2009,14.995,75.406
2009,10.998,109.295
2010,15.59,97.175
2016,26.986,61.121
2015,17.995,79
2020,35.5,18.905
2019,35.86,26.179
2019,34.995,30.578
2021,44.797,10.229
2011,11.968,145.828
2016,29.59,29.582
2019,31.995,81.986
2019,30.888,28.411
2020,32,32.9
2007,0,173.486
2018,25.995,42.451
2022,42.269,1.224
2008,0,175
2014,23.979,68.248
2016,24.995,73.253
2019,29.995,71.139
2013,16.023,133.144
2019,33.995,35.602
2021,39.395,7.196
2015,22.995,60.255
2019,39.58,18.372
2013,12.6,195
2020,36.89,19.382
2020,39.729,22.543
2019,34.901,25.981
2019,38.488,41
2020,37.898,8.167
2019,37.983,17.149
2019,32.99,51.415
2021,38.888,7.828
2021,39.882,5.695
2013,18.599,83.35
2021,35,35.919
2019,32.995,41.605
2019,35.998,14.379
2016,23.795,90.641
2019,33.795,39.964
2019,30.98,52.715
2013,21.295,51.688
2020,31.996,45.797
2015,22.499,48.149
2016,28.59,24.854
2013,16.945,104.867
2013,18.383,80.327
2018,26.938,8.729
2013,24.99,36.555
2017,29.156,46.644
2016,29.99,28
2019,34.995,10.567
2009,14.99,93.307
2020,38,11.679
2019,38.598,3.143
2021,37.995,19.629
2022,41.888,20.153
2017,29.75,52.088
2017,26.097,50.325
2012,20.995,32.625
2021,38.887,20.289
2020,37.175,44.087
2018,29.658,34.53
2019,33.896,50.077
2017,30.987,24.026
2019,34.888,10.792
2020,32.995,21.982
2011,0,76.797
2019,35.993,41.468
2022,42.621,1.354
2017,28.75,62.47
2014,21.99,63.01
2017,23.995,59.71
2020,37,8.218
2016,27.224,60.52
2010,16.995,62.857
2017,26.681,43.807
2017,29,46.841
2020,39.465,25.871
2019,34.784,42.143
2020,37.103,21.15
2019,35.5,27.641
2015,22.985,57.154
2019,34.598,34.38
2019,35.49,25.195
2013,17.681,96.921
2019,40.5,22.064
2020,36.99,19.921
2021,40.588,11.367
2020,36.75,14.829
2018,24.728,70.912
2019,33.888,16.912
2019,36.598,12.876
2014,22.225,49.391
2011,12.75,134.128
2020,42.58,15.893
2020,36.85,22.082
2007,6.999,139.275
2020,33.432,39.707
2010,9.995,112.6
2016,21.495,67.987
2012,17.99,92.035
2021,39.985,6.7
2019,30.594,65.948
