year,price,mileage
2019,17.99,60.874
2019,25.422,35.458
2012,9.8,107.08
2020,28.225,42.769
2018,22.475,5.616
2018,16.5,56
2018,20.875,45.306
2021,25.674,5.883
2020,22.99,41.382
2020,18.5,55.791
2020,23,5
2020,20.299,61.723
2022,31,0.515
2021,25.9,10.923
2018,20.5,27.37
2019,18.985,115.658
2021,30.9,5.978
2020,24.788,32.077
2016,15.995,40.109
2017,15.997,82.34
2020,23.888,36.56
2015,11.866,109.696
2018,20.575,72.92
2017,16.588,80.007
2018,12.999,135.943
2015,16,45.147
2020,21.888,17.914
2022,24.996,16.837
2020,22.585,36.038
2019,18.9,72.962
2016,14.999,93.694
2008,3.999,182.054
2015,12,125.567
2020,18.49,63.323
2021,25.43,8.676
2014,10.99,110.298
2020,24.888,33.962
2013,9.8,159.182
2019,18.986,44.362
2015,12.71,102.726
2015,15,79.915
2019,0,28.934
2022,34.03,0.344
2019,23.29,41.453
2020,24.699,28.702
2005,4.99,114
2020,25.488,17.036
2020,24.99,17.886
2022,26.9,12.513
2020,20.394,63.354
2021,18.9,62.913
2013,11.785,66.146
2010,0,122.301
2021,22.5,11
2020,25.848,27.014
2018,12.99,127.82
2010,99.999,141.722
2017,14.5,65.3
2019,17.5,58
2014,12.997,63.866
2008,99.999,93.983
2019,26.971,20.495
2020,17.99,66.027
2020,0,17.004
2020,26.284,21.313
2020,21.451,28.005
2020,22.297,10.82
2020,17.949,90.956
2008,6.9,176.247
2020,27.682,26.8
2020,19.994,62.212
2015,15,75.094
2017,18.995,23.737
2013,0,81.39
2017,11.99,129.02
2019,23.996,22.474
2020,23,10
2011,9.999,122.253
2022,24,2.479
2015,17.892,57.96
2016,15.7,79.836
2019,20.997,61.224
2021,24.348,14.819
2017,11.991,91.761
2012,10.795,107.25
2019,21.949,57.858
2019,0,29.157
2015,11.877,97.289
2014,12.492,84.276
2018,15.99,68.367
2020,25.999,9.684
2019,20.9,50.418
2020,26.531,15.825
2019,21.475,25.416
2010,0,97.987
2015,13.297,61.383
2016,15,71.8
2020,19.946,61.494
2019,0,63.399
2021,24.998,24.167
2017,13.345,105.671
2015,13.449,84.8
2019,21.5,58.347
2019,22.498,17.198
2016,15.995,76.78
2020,24.172,13.112
2019,22.254,50.352
2015,12.998,99.897
2020,18.943,68.58
2020,21.389,55.877
2020,24.885,42.177
2019,23.888,22.702
2022,29.999,6.446
2021,27.99,8.037
2019,25.99,29.603
2018,17,57.773
2021,34.9,9.463
2020,18.995,56.76
2009,12.999,118.889
2019,23,29
2012,7.5,153.175
2018,20.95,32.405
2019,17.994,97.969
2018,20.5,39.845
2019,27.925,26.376
2018,15,107.966
2011,9.9,57
2020,21,12
2019,20.485,65.995
2019,18.999,66.256
2020,21.245,61.742
2020,26.999,36.614
2019,25.218,27.421
2015,13.084,113.264
2020,21,58.494
2020,22.975,38.037
2008,8.199,110.348
2019,17.599,93.585
2016,12.549,105.443
2019,18.999,63.699
2013,4.9,192.543
2020,22.094,12.633
2021,22.863,5.912
2017,14,55
2019,21.49,25.35
2021,21.911,28.08
2016,12.9,75.391
2016,15,93.168
2019,23.5,14.04
2020,22.988,51.251
2015,19.775,37.599
2019,22.95,54.39
2021,27.99,11.584
2015,0,91.44
2021,23.248,6.599
2019,23,66.172
2013,0,100.17
2015,19,28.95
2021,23.29,49.552
2014,12.993,79.331
2018,18.575,90.269
2019,23.752,12.835
2019,22.998,27.077
2016,14.795,101.456
2021,27.5,24.917
2016,17.515,65.275
2020,18.796,58.275
2022,34.055,0.223
2012,12.899,144.361
2018,17.497,41.999
2014,12.609,121.609
2020,0,28.867
2021,22.998,39.353
2022,28.358,6.097
2015,13.69,85.867
2015,13.9,71.17
2022,26.25,3.993
2017,17.99,45.149
2019,25.5,31.557
2011,8.498,109.2
2019,18.888,68.396
2012,12.995,51.547
2017,16.95,69.234
2016,17.474,68.518
2022,32.235,0.363
2013,15,8
2021,24.95,35.478
2021,26.811,9.459
2022,26,1.546
2020,28.5,23.157
2021,26.575,21.542
2019,19.475,64.072
2020,21.394,63.174
2020,22.5,32.113
2020,18.05,72.588
2015,15.497,79.516
2019,25.9,15.536
2016,99.999,128.817
2020,21.204,55.389
2019,21.588,23.614
2014,14.49,72.978
2020,16.995,85.85
2012,5.49,135.626
2017,19.985,38.134
2018,16.978,83.725
2018,18,56.242
2020,26.5,23.785
2021,29.9,19.497
2012,9.995,105.06
2017,0,73.88
2015,16.312,29.806
2021,29.9,3.374
2020,25.668,24.163
2016,11.995,103.19
2021,26.521,29.941
2020,21.19,59.603
2019,0,39.476
2021,22.999,4.916
2015,11.511,109.378
2016,15.99,103.498
2002,5.499,103.352
2012,5.4,102.266
2020,29,18.72
2020,21.5,10
2013,13.497,76.828
2020,22.24,29.707
2017,18.795,42.629
2020,21.539,47.666
